,sentiment,content
11152,worry,mention commentary mention sad sad
11153,empty,work work work
11154,sadness,port derbyshire least sun shine lawn look like percy thrower gardner reid weekend job
11155,worry,mention use sennheis cx barbuda month love know avail mu though
11156,hate,hate gcse geography
11157,neutral,mention kid stronger
11158,worry,mention arthritis really poor would pain old mani squat
11159,worry,mention go game tonight much exit today feel left plan
11160,hate,oo goddard vodafone trouble network
11161,hate,start x slimmer eight morn still go hate always want fig password
11162,sadness,japanese exchange student cutest thing ever seen serious aha want put pocketampkeep
11163,worry,hospital uncle surgery heart attack
11164,relief,last real seventh hour
11165,sadness,mention
11166,worry,go forgotten
11167,neutral,mention practice piano wash whip later maggi
11168,neutral,deck perfect weather today feel good tho
11169,neutral,mention stop itt
11170,neutral,sugar free gone stead grand good grand bit cheese
11171,worry,serious problem concern press release afternoon sleep eye right
11172,sadness,rain final arrive drat guess mean picnic live room instead wolfram tone
11173,sadness,mention ii either
11174,worry,park meter compute plus got tip free minute button work
11175,happiness,mention te vi esteem
11176,worry,dream cuddle lady wake alon fun
11177,worry,mention knee hurt bad im limp get suffer work together
11178,worry,still internet home fuck
11179,surprise,mention well sri make sick panda
11180,happiness,mention know june gonna good im go se even im come
11181,worry,anybody advice use print biz card beside overnight bad expert amp sprint biz card sep project
11182,neutral,cat unipress thunderstorm dog wish mention would come home
11183,sadness,mention lure foot massage
11184,sadness,mention made sad thought jump joy
11185,hate,wow seem like lifetime since never chang talkback home phone n broadband work ovum week
11186,fun,tonight tv view highly reggie perrin wont sweet howe mini hidden pod
11187,neutral,wish could twitter book expo recent javits horrible
11188,fun,everyone talk good wanna
11189,worry,need take laptop see specialist keep go every get hot know
11190,empty,mention closest good two hour
11191,enthusiasm,im pain stood foot hr nurse hard love gorgeous even xx
11192,hate,like up much today
11193,worry,mention unfortun wish mean sometime like twice yr parti always
11194,sadness,get hair done miss
11195,surprise,mention voodoo gonna beat unless someone import think new name
11196,sadness,dio cabin de local pain pure heart en el primavera sound life fair
11197,worry,wish wish eat burger
11198,worry,work super slow baby far away around crappy day
11199,surprise,mention aww oh god garbo fake play one song aha
11200,neutral,broken wordless mu power blow site ok admin screw
11201,sadness,someone feel good
11202,love,mention hey brian luttrell really like kinda page right kiss love guy
11203,worry,tri nokia vi music store nokia music current support molla firebox mac o x browser over system
11204,neutral,mention back home monday
11205,worry,may come cometh almost tissue good season
11206,sadness,mention aaron play gig life squat parti outside austin think mi tt day parti sadly
11207,sadness,ahh poor chop pig
11208,neutral,mention ok im really far yet nd part wish earlier though like mid day could involve
11209,neutral,mention drug though
11210,surprise,mention yeah pas last week sad
11211,neutral,mention ah know microsoft could probe would want charge way much extra
11212,worry,absolute gut ill sunni outside b shit load revise c exam tuesday
11213,worry,mention hear miss mani film due insuffici mundane watchman dark knight star trek
11214,worry,hate exam time want life back also want bail revise back ever bail
11215,neutral,multi storey car park without wall
11216,worry,mention sum gonna minute sunday amp come hear ya
11217,worry,serious pain
11218,worry,want go work
11219,sadness,mention want go tire
11220,sadness,mention alon im gut miss convent
11221,worry,lay alon since mook soo comfy f n play pen thought ill first one cuddle
11222,worry,mention look good go burn champion
11223,sadness,stupid freshman ruin theatr class get play warm game rest school year
11224,neutral,mention ok sweet when want stuck bed weekend
11225,sadness,mention lo dint enough room
11226,worry,man weird mom cook give much outfit also much unladylike ga
11227,neutral,mention
11228,sadness,work work kind orc
11229,neutral,mention yeah realise organic dun let perform artist dj drink stage tight malaysian law n rule
11230,neutral,mention ohh remind know one send toothpaste
11231,neutral,roommate office start pack
11232,fun,mention know final got common call p day instead play pie play oot
11233,love,mention oh sound good better get check
11234,neutral,mention happy friday know get copy bt art mel fake twitter n find thank
11235,sadness,mention im bad day
11236,hate,im tri put pic wont work
11237,surprise,mention mention hug hater day told trouble cur mgr
11238,sadness,mention damn call
11239,surprise,meet time tri win cometh mention prize friday
11240,neutral,mention total forgot degree show et al ensconced home wine read bed
11241,neutral,talkin da phone type da time
11242,worry,noo noth headache hope migraine
11243,worry,french trio nobody sit next feel little lone
11244,relief,pack clean get shit done last day apart time tomorrow shit storage
11245,neutral,mention oh il prob wt every year watch first one watch last couple week laugh loud
11246,worry,feel pain acid feel good
11247,sadness,got text guy like name guy disappoint
11248,worry,mention place order people take fore process cant wait start sell
11249,worry,mention tri use spinelli turn gh really work
11250,neutral,mention cant even think anth smell like alcohol laugh loud
11251,sadness,tomorrow rook gone
11252,worry,oh god search still find look
11253,surprise,mention crap dont work saturday amp suppose hang friend amp watch still hang joan
11254,sadness,chang car tire cost bomb
11255,neutral,mention cheapest copy arusha divine androgyny amazon
11256,worry,wish go st girl tomorrow
11257,surprise,mention hot weather lose clean clean heat suck ball
11258,love,mention got thank mean really rude
11259,neutral,mention vote stop vote
11260,neutral,get bailey tongue clip
11261,surprise,ran hair first spiderweb full baby spider almost set hair fire get rid almost
11262,worry,believe man die car wreck today right road happen still car
11263,happiness,mention laugh loud ye took awhile get accustom back apply v x c way apply amp still home end
11264,sadness,wanna see mama call back yet mama mama
11265,worry,mention e mail mile want write cant
11266,neutral,mention probe head gay huh reg six block bella terra encourage bootleg
11267,sadness,done clean take break oh god back hurt
11268,sadness,want take photo storm display camera
11269,worry,tri billion time get mention say
11270,happiness,hang around hous thank god friday nina amp mention later work global project
11271,worry,migrant suck expect kid suddenly hyper
11272,enthusiasm,mention work agh really need go day go add schedule
11273,worry,mention home alon cat even
11274,worry,mention interview today
11275,happiness,rain rain rain go away come back next week gone via mention rain lie crazy key
11276,worry,mention broke pod
11277,sadness,say good bye ronald today difficult sad well miss
11278,neutral,walk inch heel end half size big leg still pull muscle good look as hurt day
11279,worry,bore one line talk
11280,fun,mention email kid wait fill form serious
11281,worry,want go music tonight lost voice
11282,hate,mention dint even send nice bid
11283,sadness,realise all talk crazy cat sunday sad
11284,sadness,sit wonder amp wish bunch stuff never
11285,neutral,mention tom tito tour still made co seem steal really want copy
11286,sadness,mention wish unfortun all make gotta work nd gig today
11287,happiness,mention yeh knew wot meant kinda laugh loud seem radio bod lost count
11288,neutral,work weekend look like
11289,worry,sick sick suck love day
11290,worry,mention broke christian bale play batman
11291,neutral,salad roger hungry
11292,sadness,yd drive within foot green nd time play hole count though
11293,sadness,mention local pet store get shut last cometh like horrible aim go
11294,neutral,heat make hard revise
11295,worry,credit card fun mix
11296,fun,sunniest day age im bed
11297,worry,stupid pod take fore load
11298,hate,hate bottom city traffic suck
11299,happiness,mention aha fail remem sohcahtoa laugh
11300,happiness,wanna see upp
11301,relief,final school today sit library long time
11302,sadness,mention im really sorry know allah feel life shift
